OrderID,SKU,Date,Units_Sold,Store_ID
1,SKU001,2025-01-01,24,S01
2,SKU001,2025-01-01,18,S02
3,SKU001,2025-01-01,26,S03
4,SKU001,2025-01-01,35,S04
5,SKU001,2025-01-01,17,S05
6,SKU002,2025-01-01,17,S01
7,SKU002,2025-01-01,35,S02
8,SKU002,2025-01-01,27,S03
9,SKU002,2025-01-01,15,S04
10,SKU002,2025-01-01,25,S05
11,SKU003,2025-01-01,15,S01
12,SKU003,2025-01-01,15,S02
13,SKU003,2025-01-01,22,S03
14,SKU003,2025-01-01,2,S05
15,SKU004,2025-01-01,14,S01
16,SKU004,2025-01-01,9,S02
17,SKU004,2025-01-01,23,S03
18,SKU004,2025-01-01,10,S04
19,SKU004,2025-01-01,5,S05
20,SKU005,2025-01-01,34,S01
21,SKU005,2025-01-01,17,S02
22,SKU005,2025-01-01,20,S03
23,SKU005,2025-01-01,5,S04
24,SKU005,2025-01-01,14,S05
25,SKU006,2025-01-01,21,S01
26,SKU006,2025-01-01,8,S02
27,SKU006,2025-01-01,23,S03
28,SKU006,2025-01-01,13,S04
29,SKU006,2025-01-01,17,S05
30,SKU007,2025-01-01,13,S01
31,SKU007,2025-01-01,38,S02
32,SKU007,2025-01-01,19,S03
33,SKU007,2025-01-01,9,S04
34,SKU007,2025-01-01,28,S05
35,SKU008,2025-01-01,7,S01
36,SKU008,2025-01-01,22,S02
37,SKU008,2025-01-01,6,S04
38,SKU008,2025-01-01,21,S05
39,SKU009,2025-01-01,27,S01
40,SKU009,2025-01-01,21,S02
41,SKU009,2025-01-01,18,S03
42,SKU009,2025-01-01,16,S04
43,SKU009,2025-01-01,5,S05
44,SKU010,2025-01-01,12,S01
45,SKU010,2025-01-01,15,S02
46,SKU010,2025-01-01,30,S03
47,SKU010,2025-01-01,23,S04
48,SKU010,2025-01-01,2,S05
49,SKU011,2025-01-01,23,S01
50,SKU011,2025-01-01,16,S02
51,SKU011,2025-01-01,13,S03
52,SKU011,2025-01-01,26,S04
53,SKU011,2025-01-01,30,S05
54,SKU012,2025-01-01,29,S01
55,SKU012,2025-01-01,11,S02
56,SKU012,2025-01-01,16,S03
57,SKU012,2025-01-01,23,S04
58,SKU012,2025-01-01,29,S05
59,SKU013,2025-01-01,15,S01
60,SKU013,2025-01-01,18,S02
61,SKU013,2025-01-01,8,S03
62,SKU013,2025-01-01,8,S04
63,SKU013,2025-01-01,28,S05
64,SKU014,2025-01-01,33,S01
65,SKU014,2025-01-01,19,S02
66,SKU014,2025-01-01,30,S03
67,SKU014,2025-01-01,23,S04
68,SKU014,2025-01-01,13,S05
69,SKU015,2025-01-01,23,S01
70,SKU015,2025-01-01,35,S02
71,SKU015,2025-01-01,19,S03
72,SKU015,2025-01-01,35,S04
